2022/11/28 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4596,10:00～11:00,11/28,23:20,24,80

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3706,10:00～11:00,11/28,23:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4248,8:00～9:00,11/28,23:20,22,81

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3478,8:00～9:00,11/28,23:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/11/28,0:00,2352,2328,73,3220
2022/11/28,1:00,2270,2255,80,2810
2022/11/28,2:00,2284,2275,80,2837
2022/11/28,3:00,2334,2320,82,2837
2022/11/28,4:00,2405,2389,81,2934
2022/11/28,5:00,2550,2546,81,3128
2022/11/28,6:00,2840,2838,81,3494
2022/11/28,7:00,3109,3182,79,3905
2022/11/28,8:00,3471,3478,81,4248
2022/11/28,9:00,3676,3663,80,4541
2022/11/28,10:00,3648,3706,79,4596
2022/11/28,11:00,3636,3683,79,4601
2022/11/28,12:00,3524,3500,77,4521
2022/11/28,13:00,3589,3545,78,4575
2022/11/28,14:00,3544,3541,78,4518
2022/11/28,15:00,3551,3551,78,4518
2022/11/28,16:00,3674,3656,81,4499
2022/11/28,17:00,3692,3683,80,4574
2022/11/28,18:00,3614,3618,77,4671
2022/11/28,19:00,3481,3484,75,4615
2022/11/28,20:00,3344,3343,73,4564
2022/11/28,21:00,3149,3158,70,4469
2022/11/28,22:00,2980,2981,69,4260
2022/11/28,23:00,2783,2776,69,3999

最大使用率(%),時間帯
82,3:00～4:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4302,10:00～11:00,11/28,23:50,21,82

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3554,10:00～11:00,11/28,23:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2991,3:00～4:00,11/28,23:50,21,82

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2471,3:00～4:00,11/28,23:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/11/28,0:00,2421,0,0
2022/11/28,0:05,2412,0,0
2022/11/28,0:10,2408,0,0
2022/11/28,0:15,2395,0,0
2022/11/28,0:20,2382,0,0
2022/11/28,0:25,2364,0,0
2022/11/28,0:30,2366,0,0
2022/11/28,0:35,2341,0,0
2022/11/28,0:40,2309,0,0
2022/11/28,0:45,2306,0,0
2022/11/28,0:50,2286,0,0
2022/11/28,0:55,2277,0,0
2022/11/28,1:00,2278,0,0
2022/11/28,1:05,2291,0,0
2022/11/28,1:10,2275,0,0
2022/11/28,1:15,2267,0,0
2022/11/28,1:20,2261,0,0
2022/11/28,1:25,2258,0,0
2022/11/28,1:30,2264,0,0
2022/11/28,1:35,2255,0,0
2022/11/28,1:40,2264,0,0
2022/11/28,1:45,2258,0,0
2022/11/28,1:50,2263,0,0
2022/11/28,1:55,2266,0,0
2022/11/28,2:00,2261,0,0
2022/11/28,2:05,2278,0,0
2022/11/28,2:10,2263,0,0
2022/11/28,2:15,2273,0,0
2022/11/28,2:20,2276,0,0
2022/11/28,2:25,2262,0,0
2022/11/28,2:30,2270,0,0
2022/11/28,2:35,2285,0,0
2022/11/28,2:40,2279,0,0
2022/11/28,2:45,2276,0,0
2022/11/28,2:50,2301,0,0
2022/11/28,2:55,2300,0,0
2022/11/28,3:00,2296,0,0
2022/11/28,3:05,2323,0,0
2022/11/28,3:10,2317,0,0
2022/11/28,3:15,2331,0,0
2022/11/28,3:20,2333,0,0
2022/11/28,3:25,2324,0,0
2022/11/28,3:30,2320,0,0
2022/11/28,3:35,2307,0,0
2022/11/28,3:40,2327,0,0
2022/11/28,3:45,2334,0,0
2022/11/28,3:50,2335,0,0
2022/11/28,3:55,2342,0,0
2022/11/28,4:00,2342,0,0
2022/11/28,4:05,2361,0,0
2022/11/28,4:10,2375,0,0
2022/11/28,4:15,2385,0,0
2022/11/28,4:20,2398,0,0
2022/11/28,4:25,2382,0,0
2022/11/28,4:30,2400,0,0
2022/11/28,4:35,2399,0,0
2022/11/28,4:40,2413,0,0
2022/11/28,4:45,2424,0,0
2022/11/28,4:50,2425,0,0
2022/11/28,4:55,2432,0,0
2022/11/28,5:00,2440,0,0
2022/11/28,5:05,2469,0,0
2022/11/28,5:10,2492,0,0
2022/11/28,5:15,2510,0,0
2022/11/28,5:20,2527,0,0
2022/11/28,5:25,2534,0,0
2022/11/28,5:30,2524,0,0
2022/11/28,5:35,2547,0,0
2022/11/28,5:40,2569,0,0
2022/11/28,5:45,2578,0,0
2022/11/28,5:50,2605,0,0
2022/11/28,5:55,2614,0,0
2022/11/28,6:00,2670,0,0
2022/11/28,6:05,2714,0,0
2022/11/28,6:10,2755,0,0
2022/11/28,6:15,2777,0,0
2022/11/28,6:20,2799,0,0
2022/11/28,6:25,2828,0,0
2022/11/28,6:30,2822,0,0
2022/11/28,6:35,2866,0,0
2022/11/28,6:40,2885,0,0
2022/11/28,6:45,2883,2,0
2022/11/28,6:50,2922,4,0
2022/11/28,6:55,2932,6,0
2022/11/28,7:00,2952,18,0
2022/11/28,7:05,3007,33,1
2022/11/28,7:10,3024,48,1
2022/11/28,7:15,3037,60,1
2022/11/28,7:20,3061,73,2
2022/11/28,7:25,3092,84,2
2022/11/28,7:30,3093,97,3
2022/11/28,7:35,3141,110,3
2022/11/28,7:40,3146,127,4
